HelpID	FormName	HelpText	Position
89	MergeDetails	To exit without merging, press Cancel.  You will still have a chance to cancel the deletion if you've changed your mind.	3
90	CopyPhotos	Check the box to include a runtime database of you want to distribute these photos for ID.	2
91	EditShortcuts	Detail shortcuts can be repeated as long as the species is different.	3
92	EditActiveDates	By default, the active period for a particular visit is defined by the first and last photos taken for that visit.	1
93	EditActiveDates	Dates that don't match the defaults are shown in red.  You can reset them by clicking 'Default' to the right of the record.	2
94	EditActiveDates	See the database manual for a description of the situations when you might want to alter the active dates.	3
95	EditActiveDatesSingle	By default, the active period for a particular visit is defined by the first and last photos taken for that visit.	1
96	EditActiveDatesSingle	Dates that don't match the defaults are shown in red.  You can copy and paste the first and last photo dates back into the fields to set them back to the defaults, or alter the dates as necessary.	2
97	EditActiveDatesSingle	See the database manual for a description of the situations when you might want to alter the active dates.	3
98	MergeInd	The individual you selected for deletion is displayed in the "Individual to delete" field.  Select the individual that you want to merge it with in the "Individual to keep" field.	1
99	MergeInd	When you press merge, all of the detections with the individual you're deleting will be switched to the individual you select in "Individual to keep."	2
100	MergeInd	To exit without merging, press Cancel.  You will still have a chance to cancel the deletion if you've changed your mind.	3
101	Individuals	Enter the species and name of each individual you expect to find in your photos.	1
102	Individuals	Click the delete button to remove an individual from the list - if there are existing records for that individual you can switch them to a remaining individual ('merge' 2 into one) or just get rid of them.	2
103	IndividualID	Photos in the filmstrip on the left represent an independent detection event.  Each event is identified by the first photo in the series.	1
104	IndividualID	Assign individuals and/or totals by category to each detection using the subforms at the bottom.  It doesn't matter which animals appear in which photos - the data entered pertains to the entire sequence.	2
105	IndividualID	You can specify the current photo as a reference photo for a particular individual by clicking the link in the subform once an individual ID has been assigned.	3
106	IndividualID	When all individuals and/or totals have been added click the next button in the navigation bar to move on to the next detection event.	4
107	IndividualID	Use the filters at the top of the form to view only detections for a particular species, location, or field season.  You can also filter out events that have already had individual IDs or totals entered.	5
108	IndividualID	Click the links at the bottom right to access either the Individuals list or the form for grouping photos into independent detection events.	6
109	IndividualID	If more than one independent event is represented by the photos on the left, you can split the event into 2 separate detections.  First select the photo that marks the beginning of a new event, then press the 'Split' button.	7
110	IndividualID	If the current event is not independent of the previous one you can delete it by pressing the 'Delete' button.  Photos for the current detection will be added to the previous one.	8
111	IndividualID	If the current event should start with a different photo, use the 'Adjust Start Time' button to select a different image for the start of this detection.	9
112	IndividualID	Select an individual in the 'Reference Photos' drop down to open a separate form with reference photos for that individual.	10
113	AddIndDetections	Independent detections are a way of grouping series of photos into independent events.  Use this form to generate independent detections for a particular species based on the time interval between photos.	1
114	AddIndDetections	Independent detections are represented by the first photo in the series.  All subsequent photos are considered part of the same event until a new independent detection is reached.	2
115	AddIndDetections	Once you've automatically assigned detection events through this form you can edit them as needed through the Individual ID form.	3
116	AddIndDetections	Independent detections are necessary for ID'ing individuals for SECR or other indivual based analyses.  They also allow you to add summary information for an entire sequence of photos, which can then be used to estimate density or relative abundance.	4
117	AdjustIndDet	Use this form to change which photo is considered the first one for a particular detection event.  Only photos after the previous event and before the next event are allowed.	1
118	SECRQueryBuilder	Use the options on the left to build a mark-recapture query for a particular species.  The results of your query appear in the preview pane to the right.  No results will display until a species has been selected.	1
119	SECRQueryBuilder	Use the Update button to refresh the results after you've changed anything.  The other buttons are only available when the results in the preview pane match your current settings.	2
120	SECRQueryBuilder	A relative start date is based on the date the camera was set.  You can specify the number of days after the camera was set to start the first occasion.  Absolute start uses the same date for all cameras, regardless of when they were set or pulled.	3
121	SECRQueryBuilder	Start time is required when using an absolute start date.  For relative start dates, you can specify a start time or leave it blank to use the time the camera was first active.	4
122	SECRQueryBuilder	The next box provides options for the number of occasions and the duration of each occasion in days or weeks.  Since the results are based on independent events rather than individual photos there is no reason to create a buffer between occasions.	5
124	SECRQueryBuilder	You can filter the results by location, study area, or year.  Regardless of whether you set these filters, the coordinates, study area,  and date will be included in the query results.	7
125	SECRQueryBuilder	Use the 'Open Query' button to open the query results in a new tab.  The 'Save' button allows you to save your current settings to a new query within the database so you can run it in the future.	8
126	SECRQueryBuilder	The 'Export' button allows you to create a new spreadsheet or R input file with your current query results.  A separate file or sheet (if creating a spreadsheet) will contain the detector file necessary for SECR analysis.	10
127	SECRQueryBuilder	The next box provides options for populating the "SessionID" field in the input file.  You can create separate sessions based on study area or year, or you can group all detections into a single session.	6
128	OccupancyQueryBuilder	If "Require 2 Observers" is checked only detections flagged as verified will be considered when generating 1s and 0s for occasion fields.  If the box is unchecked then detections marked 'pending' will be included as well.	3
129	Visits	Click the "Module" link to create a PhotoID module containing all the photos from a particular check or pull visit.	4
130	Visits	Visits with data in red are not associated with a set visit - photos for these visits will be unavailable in the PhotoID and PhotoViewer forms until a valid set visit is added.	5
131	SingleVisitPopup	Use this form to edit existing camera visits.  You can change the visit type, visit date, or comments, but once a visit is entered you can't change it to a different location.	1
132	SingleVisitPopup	Click the "Load Photos" button to import photos for this visit.	2
133	SingleVisitPopup	Clik the "Delete Visit" button to permanently delete a visit.  If there are photos associated with the visit a form will guide you through the options for dealing with them.	3
134	AddVisitPopup	Use this form to create new visit records for the selected location.  You can enter more than one visit at a time by clicking the "Next" button after the data for a visit has been entered.	1
135	AddVisitPopup	Set visits identify when the camera was first activated, and cannot be associated with photos.	2
136	AddVisitPopup	Check visits identify times when photos were collected but the camera remained active afterward.	3
137	AddVisitPopup	Pull visits indicate that the camera was removed or turned off when the photos were collected.	4
138	AddVisitPopup	When a new check or pull visit is entered the "Load Photos" button will appear.  Click it to import photos for the new visit directly through this form.	5
139	CameraLocations	Use the link above the coordinate headers to switch between UTM and Lat/Long fields - coordinates can be entered in either format.  You can convert between UTM and Lat/Long using the Advanced Database Tasks option on the Switchboard.	3
141	Species	You can assign species to groups (e.g. carnivores, cavity nesters) for occupancy analysis using the "Group" field.  Use the link at the bottom of the form to edit the list of available groups.	5
142	VisitModule	This form creates a Photo ID module for the photos associated with a particular visit.  If the current visit has more than around 5000 photos consider using the PhotoViewer form to split the visit into 2 modules by date.	1
143	SpeciesGroups	Use this form to enter/edit which groups are available in the Species form.  Groups can be used to combine several species when performing occupancy analysis.	1
144	SpeciesGroups	For example, if you're interested in occupancy of cavity nesters you could enter "Cavity Nesters" here, then return to the Species form and assign the appropriate species to the Cavity Nesters group.	2
145	SpeciesGroups	Finally you would use the Occupancy Query Builder to create a query with ones and zeros representing presence/absence of any of those species.	3
146	QueryBuilders	Select a data type then click Go to open a query builder form.	1
147	QueryBuilders	Activity queries create a list of times when a particular species was detected so they can be graphed or analyzed with programs such as the r package Overlap.	2
148	QueryBuilders	Detection summaries retrieve the data entered into the "Totals by Category" subform of the Individual ID form.  These can be useful for calculating relative abundance or even density.	3
149	QueryBuilders	Occupancy queries create an encounter history for a given species for use in occupancy analysis in PRESENCE or MARK.	4
150	QueryBuilders	Mark-recapture queries require you to identify individual animals in your photos, and can be used with MARK, DENSITY, or the r package SECR to calculate abundance or density.	5
151	QueryBuilders	Spatial queries can be linked from ArcMap or exported to kml to map your camera locations or results.	6
152	AdjustImageDates	Use this form to adjust the timestamps of all photos associated with a particular visit.  Select the type of adjustment (add or subtract), the time interval, and the number, then click Go to update the records.	1
153	AdjustImageDates	The image files themselves won't be affected in any way by this adjustment - any timestamp included in the image won't be changed, nor will the file properties (date taken, last modified, etc.).	2
154	AdjustImageDates	The final two fields in the form show a preview of your adjustment so you can see the effect it will have on the first photo associated with this visit.	3
155	DetectionSummaryQueryBuilder	Use the options on the left to build a detection summary query.  The results of your query appear in the preview pane to the right.	1
156	DetectionSummaryQueryBuilder	Use the Update button to refresh the results after you've changed anything.  The other buttons are only available when the results in the preview pane match your current settings.	2
157	DetectionSummaryQueryBuilder	Note that one day is added to the end date (if specified) to include images taken on that date (cutoff = midnight the following day).  If you want to set a cutoff for an end date that includes a time, set the end date field to 24 hours before your cutoff.	3
160	SpatialQueryBuilder	Use the options on the left to build a spatial query.  The results of your query appear in the preview pane to the right.	1
161	SpatialQueryBuilder	Use the Update button to refresh the results after you've changed anything.  The other buttons are only available when the results in the preview pane match your current settings.	2
162	SpatialQueryBuilder	The export button allows you to save the query results as a .kml file for viewing in Google Earth (when using lat/long) or spreadsheet.	3
163	SpatialQueryBuilder	If you entered location data in UTM but want to convert to Lat/Long (or the reverse) use the "Advanced Database Tasks" command on the Switchboard.	4
164	FlatFileQueryBuilder	Flat files are a way to export photo and sepcies ID information to a single spreadsheet or text file for further processing or analysis in other programs.	1
165	FlatFileQueryBuilder	Normal queries contain SpeciesID information in a single column, and will contain more than one row per photo in cases where multiple species are present in the same image.	2
166	FlatFileQueryBuilder	Pivoted queries contain a separate column for each species present and contain a single row per photo.	3
167	FlatFileQueryBuilder	You can choose whether to include both pending (only one observer) and verified (multiple observers) detections or only verified detections in your results.	4
